,Feature Number,X Disp,Y Disp,X Abs,Y Abs
65,65,75.16293525695801,29.050064086914062,4727.354078292847,4083.239212036133
66,66,75.66447257995605,29.225082397460938,4764.848012924194,4096.287269592285
67,67,74.37735557556152,11.546287536621094,4701.979866027832,3701.337661743164
68,68,67.35214233398438,14.595260620117188,4331.230659484863,3618.4942626953125
69,69,75.30841827392578,19.330787658691406,4757.976322174072,3894.0863037109375
70,70,66.3215160369873,21.873855590820312,4268.934860229492,3725.8204650878906
71,71,63.2948112487793,12.478599548339844,4108.3446979522705,3441.6436767578125
72,72,69.93541717529297,31.623153686523438,4467.968301773071,3683.2887268066406
73,73,67.6743221282959,30.48114776611328,4368.953418731689,3589.3136978149414
74,74,66.17703437805176,29.429588317871094,4289.380130767822,3493.5810470581055
75,75,70.47420501708984,31.61083221435547,4581.593313217163,3919.8671340942383
76,76,63.81071090698242,28.38123321533203,4155.483999252319,3329.756278991699
77,77,64.43221092224121,28.409767150878906,4193.961982727051,3375.856819152832
78,78,63.910818099975586,28.415908813476562,4160.201711654663,3350.5113220214844
79,79,72.24849700927734,34.89990234375,4701.3098430633545,4106.93717956543
80,80,65.7425308227539,29.094810485839844,4249.625558853149,3474.6335983276367
81,81,67.18382835388184,29.84100341796875,4320.088262557983,3546.169204711914
82,82,68.96418571472168,30.900917053222656,4397.518472671509,3606.3674545288086
83,83,66.5192985534668,25.52936553955078,4241.5211391448975,3312.223777770996
84,84,68.24089050292969,27.291831970214844,4347.185211181641,3390.437431335449
85,85,68.85126113891602,28.659515380859375,4382.612257003784,3463.808135986328
86,86,69.05794143676758,29.685821533203125,4396.681823730469,3517.1864318847656
87,87,68.9893913269043,30.53722381591797,4392.541580200195,3554.615898132324
88,88,65.90357780456543,29.27288055419922,4253.971509933472,3471.920585632324
89,89,65.93029975891113,28.845367431640625,4255.423021316528,3449.301223754883
90,90,65.68991661071777,28.335533142089844,4246.089448928833,3414.7685623168945
91,91,65.28605461120605,27.642364501953125,4229.729461669922,3369.7972869873047
92,92,66.89071655273438,28.749732971191406,4311.829519271851,3599.6728134155273
93,93,49.63631629943848,5.461463928222656,3454.1272830963135,2678.118667602539
94,94,74.21184539794922,37.04700469970703,4743.085412979126,4164.378433227539
95,95,64.74300384521484,28.809432983398438,4201.690435409546,3417.0934295654297
96,96,64.65130805969238,28.67462158203125,4201.870794296265,3399.9185943603516
97,97,71.43024444580078,34.006919860839844,4599.00598526001,4013.614387512207
98,98,68.87423515319824,29.364547729492188,4493.103017807007,3796.2782669067383
99,99,71.35917663574219,33.505706787109375,4606.997480392456,4007.921028137207
100,100,69.69363212585449,24.94129180908203,4468.924026489258,3688.070640563965
101,101,67.70261764526367,23.67359161376953,4367.391529083252,3641.6436767578125
102,102,69.28891181945801,28.96808624267578,4521.830949783325,3819.1767501831055
103,103,69.41059112548828,8.900909423828125,4440.02477645874,3551.0686111450195
104,104,71.4572525024414,16.82933807373047,4549.673681259155,3772.4698638916016
105,105,73.14635753631592,27.473411560058594,4624.1026067733765,4017.692184448242
106,106,64.10219192504883,24.750442504882812,4137.347145080566,3270.985336303711
107,107,77.76294708251953,30.693130493164062,4871.985340118408,4161.891937255859
108,108,78.31795692443848,21.409015655517578,4893.034400939941,3954.383602142334
109,109,78.4650707244873,14.367027282714844,4884.05613899231,3786.3790130615234
110,110,69.00672912597656,18.246002197265625,4350.933952331543,3562.2302627563477
111,111,62.62440204620361,16.93572998046875,4089.776186943054,3427.080497741699
112,112,72.10103988647461,24.60071563720703,4571.470041275024,3714.809684753418
113,113,67.6711893081665,20.018882751464844,4298.221249580383,3632.141571044922
114,114,72.6657772064209,27.28008270263672,4625.275983810425,3869.0796661376953
115,115,71.91884994506836,33.96007537841797,4695.899705886841,4106.042213439941
116,116,58.96674156188965,14.314002990722656,3947.7588272094727,3285.1554107666016
117,117,64.4373893737793,18.41259002685547,4178.56086730957,3484.4393920898438
118,118,66.78741931915283,20.55389404296875,4284.859700202942,3560.511932373047
119,119,69.3995475769043,22.76947021484375,4398.982458114624,3616.18839263916
120,120,70.97439765930176,24.088058471679688,4480.661344528198,3652.542724609375
121,121,72.05251693725586,25.446128845214844,4553.242835998535,3718.954658508301
122,122,76.2952995300293,29.929847717285156,4803.260707855225,4087.588005065918
123,123,58.45785140991211,15.541229248046875,3936.688241958618,3251.396484375
124,124,65.17923831939697,19.55066680908203,4201.775765419006,3597.505760192871
125,125,74.64125633239746,37.72430419921875,4795.970935821533,4235.737724304199
126,126,70.7417106628418,27.779006958007812,4558.949861526489,3821.1205291748047
127,127,53.027544021606445,2.8005599975585938,3584.77970123291,2836.2692642211914
128,128,73.24905395507812,26.580276489257812,4622.080593109131,3805.2164459228516
129,129,68.67791175842285,27.328948974609375,4469.860239028931,3729.636688232422
130,130,68.79435539245605,16.530723571777344,4317.008771896362,3520.63663482666
131,131,71.80340766906738,32.66151428222656,4675.6092739105225,4060.881576538086
132,132,48.875555992126465,7.735939025878906,3434.6830129623413,2632.3827362060547
133,133,71.86935424804688,23.782501220703125,4560.638666152954,3718.4576416015625
134,134,74.29424285888672,35.162811279296875,4796.2611293792725,4239.118919372559
135,135,55.44233322143555,17.025909423828125,3735.129518508911,2914.158248901367
136,136,52.96963691711426,14.655227661132812,3600.496072769165,2741.554641723633
137,137,53.8861083984375,10.803489685058594,3695.377206802368,2985.1586151123047
138,138,53.3660888671875,14.851036071777344,3670.9451007843018,2856.0654830932617
139,139,59.72359657287598,9.748001098632812,3925.871114730835,3257.5656127929688
140,140,61.28242492675781,20.875091552734375,3962.9259395599365,3120.1431274414062
141,141,73.75127792358398,36.59645080566406,4728.854341506958,4153.817367553711
142,142,69.25580978393555,26.420516967773438,4466.652889251709,3728.7881088256836
143,143,60.171189308166504,14.904937744140625,3960.1582860946655,3356.300506591797
144,144,70.66946983337402,19.628829956054688,4443.822469711304,3632.9396057128906
145,145,71.14434242248535,21.008758544921875,4477.681474685669,3644.3215942382812
146,146,64.12239074707031,28.120155334472656,4181.571063995361,3344.6510696411133
147,147,57.21827030181885,15.786933898925781,3871.6746282577515,3157.9595947265625
148,148,62.16327667236328,20.06927490234375,3978.0586338043213,3083.603057861328
149,149,58.371076583862305,17.785797119140625,3795.5116653442383,2938.257064819336
150,150,55.931854248046875,16.551971435546875,3701.7865562438965,2838.6700439453125
151,151,81.32843971252441,23.829689025878906,4996.167297363281,3986.0239028930664
152,152,63.50089073181152,20.41107177734375,4051.1924171447754,3070.669631958008
153,153,71.38280868530273,21.95476531982422,4503.6399936676025,3651.3896560668945
154,154,71.66044235229492,23.039512634277344,4534.782257080078,3675.6654739379883
155,155,71.82243347167969,23.777694702148438,4553.892087936401,3699.0738677978516
156,156,62.97334671020508,17.13306427001953,4094.1147994995117,3508.3802795410156
157,157,70.53474426269531,17.03948974609375,4519.765319824219,3657.2855377197266
158,158,69.41362380981445,13.075485229492188,4479.121055603027,3625.7949829101562
159,159,68.759765625,11.398544311523438,4454.305830001831,3609.188232421875
160,160,68.55268478393555,11.464881896972656,4425.9978675842285,3583.2799530029297
161,161,68.73044013977051,12.67730712890625,4402.047386169434,3556.3244247436523
162,162,56.804866790771484,3.58245849609375,3761.1259174346924,3012.752799987793
163,163,70.42293548583984,18.273391723632812,4415.941486358643,3608.1864166259766
164,164,72.39727020263672,35.09834289550781,4602.229413986206,3956.26407623291
165,165,68.08985710144043,30.298500061035156,4408.5956382751465,3730.747604370117
166,166,70.76831817626953,32.408790588378906,4622.420196533203,3976.7926025390625
167,167,70.78125,33.433074951171875,4551.857814788818,3909.9044036865234
168,168,77.90233612060547,28.636703491210938,4843.358430862427,4045.0182723999023
169,169,57.449684143066406,18.722610473632812,3796.36399269104,2972.6082611083984
170,170,59.21304702758789,19.77039337158203,3865.054292678833,3045.8401107788086
171,171,63.12884330749512,22.07592010498047,4066.6718673706055,3158.584098815918
172,172,50.290775299072266,12.552680969238281,3510.210371017456,2652.80948638916
173,173,71.48271560668945,21.3653564453125,4549.3635177612305,3699.3790435791016
174,174,74.64752197265625,31.050682067871094,4747.364330291748,4085.630874633789
175,175,64.65700149536133,22.374267578125,4134.919452667236,3164.185562133789
176,176,60.50219535827637,18.96137237548828,3890.8602619171143,3034.215202331543
177,177,52.831950187683105,11.838493347167969,3652.7545022964478,2904.3222045898438
178,178,67.43768692016602,29.940948486328125,4321.742763519287,3521.968536376953
179,179,67.53716468811035,29.217872619628906,4325.6249713897705,3491.39102935791
180,180,67.26822853088379,28.427810668945312,4313.536062240601,3445.7857513427734
181,181,66.74932479858398,27.281341552734375,4286.783638000488,3383.0123901367188
182,182,65.24594306945801,25.086936950683594,4183.258695602417,3300.6382369995117
183,183,64.90862846374512,28.818130493164062,4208.905334472656,3406.286163330078
184,184,64.91706848144531,28.77857208251953,4217.689418792725,3402.8615188598633
185,185,64.87658500671387,28.719711303710938,4223.117551803589,3404.6621704101562
186,186,65.14866828918457,27.363433837890625,4209.45499420166,3444.0269470214844
187,187,60.164265632629395,19.360885620117188,4008.1586408615112,3311.2502670288086
188,188,74.49614524841309,28.714866638183594,4714.234571456909,3990.1721954345703
189,189,73.9914321899414,26.07440948486328,4658.345260620117,3851.231346130371
190,190,72.43766784667969,24.557151794433594,4591.872940063477,3776.6405868530273
191,191,64.72612380981445,28.730010986328125,4194.8859214782715,3411.2904357910156
192,192,57.01183319091797,17.42687225341797,3835.1144886016846,3065.257453918457
193,193,75.6375503540039,27.946701049804688,4756.7962646484375,3982.632484436035
194,194,63.53653907775879,24.000473022460938,4099.40299987793,3223.3109283447266
